1-01-01-30-a,1-01-01-30,STO / PLASA BEREUENUEN,"JL. BANDA ACEH - MEDAN, KAB. PIDIE",a,"5.271513,95.986935",GEDUNG PERANGKAT STO,KAB. PIDIE,,
1-01-01-31-a,1-01-01-31,STO / PLASA GEUDONG,"JL. LINTEUNG NO. 21, DESA BLANG PEURIA, KAB. ACEH UTARA",a,"5.116997,97.202128",GEDUNG PERANGKAT STO,KAB. ACEH UTARA,,
1-01-01-32-a,1-01-01-32,STO / PLASA LHOKSUKON,"JL. T. PANGLIMA POLEM NO. 2, DESA KAMPUNG BARU, KAB. ACEH UTARA",a,"5.040386,97.321533",GEDUNG PERKANTORAN,KAB. ACEH UTARA,,
1-01-01-32-b,1-01-01-32,STO / PLASA LHOKSUKON,"JL. T. PANGLIMA POLEM NO. 2, DESA KAMPUNG BARU, KAB. ACEH UTARA",b,"5.040386,97.321533",GEDUNG PLASA,KAB. ACEH UTARA,,
1-01-01-33-a,1-01-01-33,STO / PLASA MATANG GLUMPANG 2,"JL. TGK. ABD. RAHMAN, DESA MATANG GLUMPANG DUA, KAB. BIREUEN",a,"5.196542,96.787861",GEDUNG PERANGKAT STO,KAB. BIREUEN,,
1-01-01-34-a,1-01-01-34,STO / PLASA MATANGKULI,"JL. MESJID, DESA BLANG, KEC MATANGKULI, KAB. ACEH UTARA",a,"5.032492,97.277789",GEDUNG PERANGKAT STO,KAB. ACEH UTARA,,
1-01-01-35-a,1-01-01-35,STO / PLASA SAMALANGA,"JL. HARAPAN, NO. 2, DESA KEUDEE ACEH, KEC. SAMALANGA, KAB.  BIREUEN",a,"5.205894,96.368483",GEDUNG PERANGKAT STO,KAB. BIREUEN,,
1-01-01-36-a,1-01-01-36,PLASA TAKENGON,"JL. LEUBE KADER NO. 2, DESA BALE ATU, KAB. ACEH TENGAH",a,"4.621558,96.847539",GEDUNG PLASA,KAB. ACEH TENGAH,,
1-01-01-37-a,1-01-01-37,STO / PLASA BLANG KEJEREN,"JL. BLANGKEJEREN - KUTA CANE NO. 176, KEC. BLANGKEJEREN, KAB. GAYO LUES",a,"3.99025,97.343347",GEDUNG PERANGKAT STO,KAB. GAYO LUES,,
1-01-01-38-a,1-01-01-38,STO / PLASA IDI,"JL. ISKANDAR MUDA NO.1, DESA GP JAWA , KEC. IDI RAYEUK, KAB. ACEH TIMUR",a,"4.949658,97.773822",GEDUNG PERKANTORAN,KAB. ACEH TIMUR,,
1-01-01-38-b,1-01-01-38,STO / PLASA IDI,"JL. ISKANDAR MUDA NO.1, DESA GP JAWA , KEC. IDI RAYEUK, KAB. ACEH TIMUR",b,"4.949658,97.773822",GEDUNG PLASA,KAB. ACEH TIMUR,,
1-01-01-39-a,1-01-01-39,STO / PLASA KUALA SIMPANG,"JL. ISKANDAR MUDA NO. 5, KOTA KUALA SIMPANG. KAB. ACEH TAMIANG",a,"4.283436,98.057981",GEDUNG PERANGKAT STO,KAB. ACEH TAMIANG,,
1-01-01-39-b,1-01-01-39,STO / PLASA KUALA SIMPANG,"JL. ISKANDAR MUDA NO. 5, KOTA KUALA SIMPANG. KAB. ACEH TAMIANG",b,"4.283436,98.057981",GEDUNG PLASA,KAB. ACEH TAMIANG,,
